price	sqft	bathrooms	bedrooms	type	region	address	city
699900	578	1	1	Apt/Condo	West End	1406-1028 Barclay Street	Vancouver
534000	543	1	1	Apt/Condo	Downtown West	618-1333 Hornby Street	Vancouver
529000	759	1	2	Apt/Condo	Hastings	302-2333 Eton Street	Vancouver
1788000	2511	3	6	House	Strathcona	777 Union Street	Vancouver
1399900	1726	3	2	Duplex	Marpole	8428 Selkirk Street	Vancouver
2333000	1022	2	3	Apt/Condo	Kitsilano	401-2008 Bayswater Street	Vancouver
649999	754	2	2	Apt/Condo	Colngwood	302-4882 Slocan Street	Vancouver
4688000	5419	8	8	House	South Granville	1491 W 46th Avenue	Vancouver
1099900	1593	3	6	House	Renfrew Heights	4292 Kaslo Street	Vancouver
439900	439	1	1	Apt/Condo	Fairview	303-1717 W 13th Avenue	Vancouver
1028800	1288	3	3	Townhouse	South Marine	2203 Southside Drive	Vancouver
1274900	2458	3	4	House	Renfrew	2080 Cassiar Street	Vancouver
1049000	1700	2	5	House	South Vancouver	526 E 61st Avenue	Vancouver
599000	817	1	1	Apt/Condo	West End	307-1949 Beach Avenue	Vancouver
1150000	1030	2	2	Apt/Condo	University (Ubc)	105-5728 Berton Avenue	Vancouver
549900	630	1	1	Apt/Condo	Colngwood	201-2688 Duke Street	Vancouver
1998000	2430	4	4	Duplex	Mount Pleasant East	1253 E 14th Avenue	Vancouver
859800	1386	2	3	Townhouse	South Marine	8562 Aquitania Place	Vancouver
1588000	1286	2	3	Apt/Condo	University (Ubc)	1203-3487 Binning Road	Vancouver
1299000	1116	2	2	Apt/Condo	False Creek	1401-138 W 1st Avenue	Vancouver
1698000	1991	2	4	House	Fraser East	4975 Chester Street	Vancouver
1299000	1426	2	2	Apt/Condo	Fairview	507-518 W 14th Avenue	Vancouver
4888000	2870	5	4	House	Dunbar	3105 W 24th Avenue	Vancouver
619000	554	1	1	Apt/Condo	Fairview	803-2483 Spruce Street	Vancouver
568000	721	1	1	Apt/Condo	Grandview East	207-1689 E 13th Avenue	Vancouver
685000	907	1	2	Apt/Condo	Mount Pleasant East	114-265 E 15th Avenue	Vancouver
1988000	2050	3	5	House	Grandview East	2123 E 1st Avenue	Vancouver
1150000	1104	3	3	Duplex	Knight	3321 Knight Street	Vancouver
821000	900	2	2	Apt/Condo	Kitsilano	213-3333 W 4th Avenue	Vancouver
1598000	2205	4	5	House	Fraser East	5239 Prince Albert Street	Vancouver
899900	860	2	1	Apt/Condo	Yaletown	301-29 Smithe Mews	Vancouver
1195000	1306	2	2	Apt/Condo	False Creek	102-1470 Pennyfarthing Drive	Vancouver
499000	721	1	2	Apt/Condo	Colngwood	1109-3455 Ascot Place	Vancouver
898000	938	2	2	Townhouse	Fairview	21-877 W 7th Avenue	Vancouver
529000	574	1	1	Apt/Condo	Downtown West	1102-438 Seymour Street	Vancouver
468000	571	1	1	Apt/Condo	West End	103-1050 Jervis Street	Vancouver
1198000	1354	2	2	Apt/Condo	Kerrisdale	303-2288 W 40th Avenue	Vancouver
648000	1477	3	4	Townhouse	Champlain Heights	3366 Marquette Crescent	Vancouver
768000	689	1	1	Apt/Condo	Cambie	203-5115 Cambie Street	Vancouver
4280000	1725	2	4	Apt/Condo	Mount Pleasant East	2101-110 Switchmen Street	Vancouver
579000	587	1	1	Apt/Condo	Downtown West	705-811 Helmcken Street	Vancouver
450000	671	1	1	Apt/Condo	Grandview East	207-1516 Charles Street	Vancouver
849000	825	2	2	Apt/Condo	West End	704-1288 W Georgia Street	Vancouver
1100000	1333	4	4	Duplex	Grandview East	1642 E 12 Avenue	Vancouver
2195000	2401	2	5	House	Dunbar	3825 W 19th Avenue	Vancouver
3150000	2760	4	6	Multifamily	Hastings	1883 Triumph Street	Vancouver
1498000	1198	2	2	Apt/Condo	Coal Harbour	1102-560 Cardero Street	Vancouver
1699000	1822	2	4	House	Strathcona	763 Union Street	Vancouver
2388000	3450	7	8	House	Renfrew Heights	2858 E 23rd Avenue	Vancouver
798000	703	1	1	Apt/Condo	Downtown West	908-821 Cambie Street	Vancouver
1599900	1696	3	3	Townhouse	Marpole	449 W 63rd Avenue	Vancouver
1625000	1637	4	4	Duplex	Mount Pleasant East	531-533 E 11th Avenue	Vancouver
998000	763	2	2	Apt/Condo	Downtown West	2407-535 Smithe Street	Vancouver
638000	511	1	1	Apt/Condo	Downtown West	1604-999 Seymour Street	Vancouver
1225000	1974	3	4	House	Knight	1225 East 35th Avenue	Vancouver
2488000	1442	2	2	Apt/Condo	West End	2109-1111 Alberni Street	Vancouver
1589000	2816	5	9	House	Colngwood	5695 Ormidale Street	Vancouver
650000	676	1	1	Apt/Condo	West End	803-1003 Pacific Street	Vancouver
3990000	3244	4	5	House	Kerrisdale	5389 Larch Street	Vancouver
8380000	3413	3	5	House	University (Ubc)	1896 Wesbrook Crescent	Vancouver
598000	667	2	1	Apt/Condo	Fraser East	PH2-702 E King Edward Avenue	Vancouver
698800	961	1	1	Apt/Condo	Quilchena	310-2101 Mcmullen Avenue	Vancouver
949000	671	1	1	Apt/Condo	West End	2703-1111 Alberni Street	Vancouver
2388000	2355	3	4	House	Marpole	1220 W 64th Avenue	Vancouver
548000	459	1	1	Apt/Condo	Fairview	PH2-3089 Oak Street	Vancouver
2398000	3717	8	9	House	Renfrew	2930 Charles Street	Vancouver
845000	826	1	2	Apt/Condo	Fairview	PH3-3168 Laurel Street	Vancouver
360000	652	1	1	Apt/Condo	Hastings	130-2390 Mcgill Street	Vancouver
2199000	3262	6	5	House	Hastings Sunrise	3674 Eton Street	Vancouver
599000	561	1	1	Apt/Condo	Downtown West	510-1212 Howe Street	Vancouver
1950000	1235	2	2	Apt/Condo	Downtown West	3203-1351 Continental Street	Vancouver
965000	1257	2	2	Apt/Condo	University (Ubc)	403-5760 Hampton Place	Vancouver
569000	651	1	1	Apt/Condo	South Marine	1011-3557 Sawmill Crescent	Vancouver
824900	915	2	2	Apt/Condo	South Marine	PH1005-3451 Sawmill Crescent	Vancouver
649900	721	2	2	Apt/Condo	South Marine	PH1006-3451 Sawmill Crescent	Vancouver
1865900	1862	3	4	Apt/Condo	South Marine	PH1701-8533 River District Crossing	Vancouver
888000	935	2	2	Apt/Condo	Strathcona	515-221 Union Street	Vancouver
695000	2945	6	3	House	University (Ubc)	4166 Salish Drive	Vancouver
6390000	4803	7	6	House	Quilchena	1857 W 35th Avenue	Vancouver
1148000	1045	2	2	Townhouse	Downtown West	312-1255 Seymour Street	Vancouver
866600	840	2	2	Apt/Condo	Southwest Marine	1705-8588 Cornish Street	Vancouver
670000	587	1	1	Apt/Condo	Yaletown	1701-977 Mainland Street	Vancouver
2480000	3035	3	6	House	Mackenzie Heights	2643 W 33rd Avenue	Vancouver
1068000	1112	2	2	Duplex	Mount Pleasant West	143 W 13th Avenue	Vancouver
499900	636	1	1	Apt/Condo	Mount Pleasant East	E407-515 E 15th Avenue	Vancouver
1380000	763	2	2	Apt/Condo	Downtown West	4301-1289 Hornby Street	Vancouver
1399900	1436	3	2	Townhouse	False Creek	1659 Ontario Street	Vancouver
1049000	1280	2	2	Apt/Condo	False Creek	G02-1470 Pennyfarthing Drive	Vancouver
4280000	4602	5	8	House	Dunbar	3851 W 31st Avenue	Vancouver
1100000	1570	2	3	Apt/Condo	Downtown East	304-1188 Quebec Street	Vancouver
629000	792	1	2	Apt/Condo	False Creek	204-1345 W 4th Avenue	Vancouver
